BaseMean,BaseStd,MixParams,elmc__n_out,elmc__C,elmc__activation
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.30000000000000004,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.3,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.30000000000000004,450,2,sigmoid
0.485,0.1388344337691482,0.3,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.39999999999999997,450,2,sigmoid
0.485,0.1388344337691482,-0.3,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.39999999999999997,450,2,sigmoid
0.485,0.1388344337691482,-0.10000000000000003,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.39999999999999997,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.5,450,2,sigmoid
0.485,0.1388344337691482,-0.39999999999999997,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.10000000000000003,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.3,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.3,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.49999999999999994,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.3,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.20000000000000007,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.3,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.3,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.39999999999999997,450,2,sigmoid
0.485,0.1388344337691482,-0.20000000000000007,450,2,sigmoid
0.485,0.1388344337691482,0.3,450,2,sigmoid
0.485,0.1388344337691482,-0.20000000000000007,450,2,sigmoid
0.485,0.1388344337691482,-0.20000000000000007,450,2,sigmoid
0.485,0.1388344337691482,-0.20000000000000007,450,2,sigmoid
0.485,0.1388344337691482,0.3,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.39999999999999997,450,2,sigmoid
0.485,0.1388344337691482,-0.20000000000000007,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.39999999999999997,450,2,sigmoid
0.485,0.1388344337691482,-0.20000000000000007,450,2,sigmoid
0.485,0.1388344337691482,-0.20000000000000007,450,2,sigmoid
0.485,0.1388344337691482,-0.20000000000000007,450,2,sigmoid
0.485,0.1388344337691482,-0.20000000000000007,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.3,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.30000000000000004,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.30000000000000004,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.5,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.6000000000000001,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.3,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.6000000000000001,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.6000000000000001,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.6000000000000001,450,2,sigmoid
0.485,0.1388344337691482,-0.10000000000000003,450,2,sigmoid
0.485,0.1388344337691482,-0.6000000000000001,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.39999999999999997,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.29999999999999993,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,-0.30000000000000004,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.19999999999999996,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,0.2,450,2,sigmoid
0.485,0.1388344337691482,0.0,450,2,sigmoid
0.485,0.1388344337691482,0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.39999999999999997,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.09999999999999998,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
0.485,0.1388344337691482,-0.2,450,2,sigmoid
