BaseMean,BaseStd,MixParams,elmc__n_out,elmc__C,elmc__activation
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.4,750,8,sigmoid
0.525,0.11346805717910216,-0.4,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.5,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.39999999999999997,750,8,sigmoid
0.525,0.11346805717910216,0.3,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,0.3,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,0.39999999999999997,750,8,sigmoid
0.525,0.11346805717910216,0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.39999999999999997,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,-0.10000000000000009,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.3,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.3,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.4,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,-0.4,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.30000000000000004,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.4,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000009,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.30000000000000004,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000009,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.20000000000000007,750,8,sigmoid
0.525,0.11346805717910216,0.30000000000000004,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.39999999999999997,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,-0.4,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,0.10000000000000003,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,-0.29999999999999993,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.2,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,-0.30000000000000004,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.19999999999999996,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.20000000000000007,750,8,sigmoid
0.525,0.11346805717910216,0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,-0.20000000000000007,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,0.0,750,8,sigmoid
0.525,0.11346805717910216,-0.09999999999999998,750,8,sigmoid
