BaseMean,BaseStd,MixParams,elmc__n_out,elmc__C,elmc__activation
0.525,0.16695807857064,-0.49999999999999994,150,2,sigmoid
0.525,0.16695807857064,-0.49999999999999994,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.39999999999999997,150,2,sigmoid
0.525,0.16695807857064,0.29999999999999993,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.29999999999999993,150,2,sigmoid
0.525,0.16695807857064,-0.10000000000000009,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.29999999999999993,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.10000000000000009,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.20000000000000007,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.20000000000000007,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.39999999999999997,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.5,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.3,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.3,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.3,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.30000000000000004,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.30000000000000004,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.4,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.2,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000003,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000003,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000003,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000003,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000003,150,2,sigmoid
0.525,0.16695807857064,0.2,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000003,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000003,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000003,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000003,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000003,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.4,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.5,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.4,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.5,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.30000000000000004,150,2,sigmoid
0.525,0.16695807857064,0.30000000000000004,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000009,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.20000000000000007,150,2,sigmoid
0.525,0.16695807857064,0.4,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.4,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.4,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.20000000000000007,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000009,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.29999999999999993,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000009,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.5,150,2,sigmoid
0.525,0.16695807857064,0.30000000000000004,150,2,sigmoid
0.525,0.16695807857064,0.4,150,2,sigmoid
0.525,0.16695807857064,0.4,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000009,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000009,150,2,sigmoid
0.525,0.16695807857064,0.4,150,2,sigmoid
0.525,0.16695807857064,0.5,150,2,sigmoid
0.525,0.16695807857064,0.4,150,2,sigmoid
0.525,0.16695807857064,0.10000000000000009,150,2,sigmoid
0.525,0.16695807857064,0.30000000000000004,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.4,150,2,sigmoid
0.525,0.16695807857064,0.4,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.29999999999999993,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,0.0,150,2,sigmoid
0.525,0.16695807857064,-0.29999999999999993,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.19999999999999996,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
0.525,0.16695807857064,-0.09999999999999998,150,2,sigmoid
