BaseMean,BaseStd,MixParams,svc__C,svc__kernel
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.2,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.3,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.2,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,-0.19999999999999996,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,-0.09999999999999998,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
0.56,0.14966629547095767,0.0,0.03125,sigmoid
