BaseMean,BaseStd,MixParams,svc__C,svc__kernel
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,-0.19999999999999996,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,-0.19999999999999996,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,-0.30000000000000004,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,-0.09999999999999998,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,-0.19999999999999996,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
0.56,0.13564659966250536,0.0,0.03125,sigmoid
