BaseMean,BaseStd,SMA,EMA,ATR,ADX,CCI,ROC,RSI,WillR,StochK,StochD,P1,P2,M1,M2,S1,S2,logisticregression__C,logisticregression__fit_intercept
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.09999999999999998,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.09999999999999998,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,-0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.19999999999999996,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.3,0.09999999999999998,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.09999999999999998,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,-0.20000000000000007,0.19999999999999996,-0.20000000000000007,-0.09999999999999998,0.0,-0.09999999999999998,-0.09999999999999998,-0.20000000000000007,0.0,-0.09999999999999998,0.0,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.125,True
0.5549999999999999,0.12835497652993436,0.0,-0.09999999999999998,0.0,0.0,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.20000000000000007,-0.09999999999999998,-0.20000000000000007,0.0,-0.09999999999999998,0.0,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.0,0.0,-0.09999999999999998,0.0,0.0,-0.09999999999999998,-0.09999999999999998,0.0,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,-0.09999999999999998,0.0,-0.09999999999999998,0.09999999999999998,0.0,-0.09999999999999998,-0.09999999999999998,0.0,0.0,-0.09999999999999998,-0.09999999999999998,0.0,-0.09999999999999998,0.0,0.0,0.0,0.125,True
0.5549999999999999,0.12835497652993436,0.19999999999999996,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.20000000000000007,0.0,-0.09999999999999998,-0.09999999999999998,0.0,0.0,0.0,0.125,True
